name,district,total_price,area,direction,房间,室,厅,卫,price_per_m2
整租·新浩城花园 2室1厅 南,竹子林,8000.0,76.0,南,0,2,1,1,105.26315789473684
整租·合正置地公馆 2室2厅 南,竹子林,19000.0,94.8,南,0,2,2,2,200.4219409282701
整租·天健公馆 4室2厅 南,竹子林,21000.0,129.74,南,0,4,2,2,161.86218591028208
整租·越海家园 1室1厅 北,竹子林,6000.0,47.0,北,0,1,1,1,127.65957446808513
整租·竹园小区 1室0厅 南/北,竹子林,2300.0,22.0,南北,0,1,0,1,104.54545454545456
整租·越海家园 2室2厅 东南,竹子林,8500.0,75.0,东南,0,2,2,1,113.33333333333331
整租·建业大厦 2室1厅 东,竹子林,7790.0,79.02,东,0,2,1,1,98.58263730701088
整租·竹盛花园一期 3室2厅 南,竹子林,8000.0,108.4,南,0,3,2,1,73.80073800738008
整租·香诗美林 2室2厅 南,竹子林,12000.0,78.76,南,0,2,2,1,152.36160487557137
整租·越海家园 1室0厅 东南,竹子林,4300.0,30.0,东南,0,1,0,1,143.33333333333334
整租·耀荣园 3室2厅 南,竹子林,8300.0,100.0,南,0,3,2,2,83.0
整租·宝能公馆 1室1厅 北,竹子林,15000.0,82.36,北,0,1,1,1,182.1272462360369
整租·锦庐花园 3室2厅 北,竹子林,17000.0,88.0,北,0,3,2,2,193.1818181818182
整租·竹园小区 1室0厅 北,竹子林,2100.0,21.52,北,0,1,0,1,97.58364312267658
整租·宝能公馆 4室3厅 南/北,竹子林,55000.0,230.0,南北,0,4,3,4,239.1304347826087
合租·竹盛花园一期 5居室 北卧,竹子林,1860.0,10.8,北,0,5,1,1,172.2222222222222
整租·越海家园 3室2厅 南,竹子林,11000.0,114.0,南,0,3,2,2,96.49122807017544
合租·越众小区 3居室 南卧,竹子林,2030.0,15.0,南,0,3,1,1,135.33333333333334
整租·建业小区南区 3室2厅 南/北,竹子林,6000.0,90.0,南北,0,3,2,1,66.66666666666667
合租·金竹花园 4居室 南卧,竹子林,1560.0,7.5,南,0,4,1,1,208.0
合租·建业小区南区 4居室 东卧,竹子林,1590.0,12.0,东,0,4,1,1,132.5
整租·竹盛花园三期 3室2厅 南,竹子林,8000.0,89.0,南,0,3,2,1,89.88764044943821
合租·新浩城花园 5居室 西南卧,竹子林,2290.0,10.4,西南,0,5,1,1,220.19230769230768
整租·越海家园 1室1厅 北,竹子林,6500.0,46.0,北,0,1,1,1,141.30434782608697
整租·碧海云天二期 3室2厅 南,竹子林,17500.0,155.0,南,0,3,2,2,112.90322580645162
整租·金海燕花园 3室2厅 北,竹子林,10000.0,86.0,北,0,3,2,2,116.27906976744184
整租·宝能公馆 2室1厅 南/北,竹子林,15000.0,82.0,南北,0,2,1,1,182.9268292682927
合租·建业小区南区 4居室 南卧,竹子林,1960.0,10.8,南,0,4,1,1,181.48148148148147
合租·竹园小区 4居室 西卧,竹子林,1862.0,12.1,西,0,4,1,1,153.88429752066116
合租·竹林花园 4居室 南卧,竹子林,2330.0,18.0,南,0,4,1,1,129.44444444444446
整租·越海家园 1室0厅 东,竹子林,4800.0,30.0,东,0,1,0,1,160.0
整租·金海花园 4室2厅 南/北,竹子林,15000.0,120.0,南北,0,4,2,2,125.0
合租·金竹花园 4居室 南卧,竹子林,1969.0,14.5,南,0,4,1,1,135.79310344827587
合租·建业小区北区 4居室 南卧,竹子林,1930.0,10.3,南,0,4,1,1,187.37864077669903
整租·越海家园 1室1厅 北,竹子林,5700.0,47.0,北,0,1,1,1,121.27659574468083
整租·博林贡院 3室2厅 南,竹子林,12000.0,100.0,南,0,3,2,1,120.0
整租·越海家园 1室1厅 北,竹子林,6800.0,47.0,北,0,1,1,1,144.68085106382978
整租·竹园小学教师住宅楼 3室2厅 南/北,竹子林,5500.0,77.0,南北,0,3,2,1,71.42857142857143
整租·越海家园 3室2厅 南,竹子林,10500.0,114.0,南,0,3,2,2,92.10526315789474
整租·建业小区南区 4室2厅 南/北,竹子林,7000.0,88.0,南北,0,4,2,1,79.54545454545455
整租·金海燕花园 3室2厅 北,竹子林,8800.0,86.0,北,0,3,2,2,102.32558139534883
合租·金众小区 3居室 南卧,竹子林,2190.0,12.2,南,0,3,1,1,179.5081967213115
整租·越海家园 4室2厅 南/北,竹子林,13000.0,129.0,南北,0,4,2,2,100.7751937984496
整租·越海家园 1室1厅 北,竹子林,5800.0,47.0,北,0,1,1,1,123.40425531914892
整租·宝能公馆 3室2厅 北,竹子林,25000.0,98.0,北,0,3,2,1,255.1020408163265
合租·金众小区 4居室 北卧,竹子林,1460.0,7.11,北,0,4,1,1,205.34458509142053
合租·金众小区 4居室 南卧,竹子林,1860.0,13.2,南,0,4,1,1,140.9090909090909
整租·越海家园 3室2厅 南,竹子林,12600.0,114.0,南,0,3,2,2,110.52631578947368
整租·宝能公馆 3室2厅 南,竹子林,17000.0,108.9,南,0,3,2,2,156.10651974288336
整租·宝能公馆 2室1厅 北,竹子林,18000.0,82.36,北,0,2,1,1,218.5526954832443
整租·建业大厦 2室2厅 东北,竹子林,6800.0,84.8,东北,0,2,2,1,80.18867924528303
整租·竹林花园 3室2厅 南,竹子林,6700.0,86.0,南,0,3,2,1,77.90697674418605
整租·鑫竹苑 3室2厅 东南,竹子林,12000.0,111.41,东南,0,3,2,2,107.71025940220808
整租·锦庐花园 3室2厅 北,竹子林,15500.0,87.0,北,0,3,2,2,178.16091954022988
整租·竹盛花园三期 3室2厅 西南,竹子林,8200.0,89.0,西南,0,3,2,1,92.13483146067416
整租·建业大厦 2室2厅 南,竹子林,8000.0,82.71,南,0,2,2,1,96.72349171805102
整租·建业小区南区 3室2厅 南,竹子林,6300.0,90.0,南,0,3,2,1,70.0
合租·建业小区南区 4居室 南卧,竹子林,2090.0,15.0,南,0,4,1,1,139.33333333333334
整租·宝能公馆 2室2厅 南,竹子林,17000.0,82.0,南,0,2,2,1,207.3170731707317
整租·越海家园 2室1厅 北,竹子林,7560.0,71.0,北,0,2,1,1,106.47887323943662
合租·金竹花园 4居室 南卧,竹子林,1430.0,7.4,南,0,4,1,1,193.24324324324323
整租·宝能公馆 4室2厅 南,竹子林,16500.0,113.0,南,0,4,2,2,146.01769911504425
整租·金海燕花园 3室2厅 南,竹子林,12800.0,127.0,南,0,3,2,2,100.78740157480316
合租·新浩城花园 4居室 东卧,竹子林,3490.0,14.0,东,0,4,1,1,249.28571428571428
合租·竹园小区 4居室 东北卧,竹子林,1760.0,8.93,东北,0,4,1,2,197.08846584546475
合租·竹盛花园一期 4居室 北卧,竹子林,1690.0,8.53,北,0,4,1,1,198.1242672919109
整租·碧海云天二期 3室2厅 南,竹子林,18000.0,123.0,南,0,3,2,2,146.34146341463415
整租·竹盛花园三期 3室2厅 东南,竹子林,7800.0,91.72,东南,0,3,2,1,85.041430440471
合租·金海燕花园 5居室 西北卧,竹子林,1860.0,8.2,西北,0,5,1,1,226.8292682926829
整租·博林贡院 3室2厅 西南,竹子林,14000.0,135.0,西南,0,3,2,1,103.70370370370372
合租·越众小区 4居室 南卧,竹子林,1460.0,6.54,南,0,4,1,1,223.2415902140673
整租·金竹花园 3室1厅 南/北,竹子林,6000.0,93.07,南北,0,3,1,1,64.4676050284732
整租·建业小区南区 3室2厅 南/北,竹子林,6000.0,83.5,南北,0,3,2,1,71.8562874251497
整租·金众小区 2室2厅 南/北,竹子林,6200.0,82.0,南北,0,2,2,1,75.60975609756098
整租·碧海云天二期 2室2厅 西北,竹子林,14600.0,103.0,西北,0,2,2,2,141.74757281553397
整租·育星苑 3室2厅 南/北,竹子林,7800.0,100.0,南北,0,3,2,2,78.0
整租·新浩城花园 4室2厅 南,竹子林,15000.0,142.0,南,0,4,2,2,105.6338028169014
整租·金海花园 2室2厅 南,竹子林,6900.0,74.39,南,0,2,2,1,92.75440247345074
整租·宝能公馆 1室2厅 南,竹子林,18000.0,96.0,南,0,1,2,2,187.5
整租·育星苑 2室2厅 南,竹子林,5500.0,72.0,南,0,2,2,1,76.38888888888889
整租·碧海云天一期 7室3厅 南/北,竹子林,42000.0,250.0,南北,0,7,3,5,168.0
整租·香诗美林 3室2厅 北,竹子林,13000.0,114.0,北,0,3,2,2,114.03508771929825
整租·香诗美林 2室2厅 西南,竹子林,9500.0,78.0,西南,0,2,2,1,121.7948717948718
整租·宝能公馆 6室2厅 南/北,竹子林,25000.0,158.0,南北,0,6,2,4,158.22784810126583
整租·越海家园 2室1厅 南,竹子林,7500.0,76.0,南,0,2,1,1,98.6842105263158
整租·建业小区南区 3室2厅 南,竹子林,7000.0,83.0,南,0,3,2,1,84.33734939759036
整租·香诗美林 3室2厅 南/北,竹子林,12000.0,117.0,南北,0,3,2,2,102.56410256410255
整租·越海家园 1室1厅 北,竹子林,6200.0,47.0,北,0,1,1,1,131.91489361702128
整租·越海家园 1室1厅 东/北/东北,竹子林,7500.0,47.0,东北东北,0,1,1,1,159.5744680851064
整租·福田区国土所住宅小区 3室2厅 南,竹子林,7000.0,97.6,南,0,3,2,1,71.72131147540983
整租·香诗美林 2室2厅 东南,竹子林,9500.0,81.0,东南,0,2,2,1,117.28395061728396
合租·金众小区 3居室 南卧,竹子林,2430.0,13.0,南,0,3,1,1,186.92307692307693
合租·金海燕花园 5居室 西卧,竹子林,3600.0,30.0,西,0,5,1,2,120.0
整租·越海家园 1室1厅 西,竹子林,4930.0,31.79,西,0,1,1,1,155.08021390374333
整租·安峦公馆 6室2厅 复式 东/西,竹子林,80000.0,445.36,东西,0,6,2,5,179.6299622777079
整租·建业小区南区 3室2厅 南/北,竹子林,6600.0,85.0,南北,0,3,2,1,77.6470588235294
整租·建业小区南区 3室2厅 南/北,竹子林,6200.0,88.0,南北,0,3,2,1,70.45454545454545
整租·香诗美林 4室2厅 南/北,竹子林,14000.0,136.0,南北,0,4,2,2,102.94117647058825
合租·鸿新花园 4居室 南卧,竹子林,2260.0,11.6,南,0,4,1,1,194.82758620689657
整租·竹园小区 3室1厅 南,竹子林,6000.0,70.0,南,0,3,1,1,85.71428571428571
整租·香诗美林 2室1厅 东,竹子林,10000.0,80.0,东,0,2,1,1,125.0
合租·建业小区南区 4居室 南卧,竹子林,1990.0,12.8,南,0,4,1,1,155.46875
合租·金众小区 4居室 南卧,竹子林,1804.0,10.6,南,0,4,1,1,170.18867924528303
合租·金海燕花园 5居室 南卧,竹子林,2730.0,13.9,南,0,5,1,1,196.4028776978417
合租·越众小区 3居室 北卧,竹子林,1660.0,8.6,北,0,3,1,1,193.02325581395348
整租·竹园小区 3室1厅 南,竹子林,6500.0,76.57,南,0,3,1,1,84.88964346349746
合租·竹盛花园三期 4居室 西卧,竹子林,1890.0,9.3,西,0,4,1,1,203.2258064516129
整租·雅福居 4室2厅 东南,竹子林,16000.0,132.15,东南,0,4,2,2,121.07453651153992
合租·建业小区北区 4居室 南卧,竹子林,2160.0,12.6,南,0,4,1,1,171.42857142857144
整租·建业小区北区 3室2厅 南/北,竹子林,6500.0,88.48,南北,0,3,2,1,73.4629294755877
整租·万科香蜜府 4室2厅 东南,竹子林,35000.0,179.21,东南,0,4,2,2,195.30160147313208
合租·建业小区南区 4居室 南卧,竹子林,1830.0,14.4,南,0,4,1,1,127.08333333333331
整租·宝能公馆 2室2厅 南/北,竹子林,15000.0,82.36,南北,0,2,2,1,182.1272462360369
整租·碧海云天二期 3室2厅 西北,竹子林,15000.0,103.0,西北,0,3,2,2,145.63106796116506
整租·竹林花园 3室2厅 南,竹子林,6300.0,86.0,南,0,3,2,1,73.25581395348837
合租·建业小区北区 4居室 南卧,竹子林,1630.0,10.4,南,0,4,1,1,156.73076923076923
整租·竹盛花园二期 3室2厅 北,竹子林,8600.0,106.79,北,0,3,2,2,80.53188500795954
整租·竹园小区 1室0厅 北,竹子林,2200.0,21.52,北,0,1,0,1,102.23048327137546
合租·金海燕花园 4居室 西卧,竹子林,2030.0,7.9,西,0,4,1,1,256.9620253164557
合租·金众小区 4居室 北卧,竹子林,1690.0,10.5,北,0,4,1,1,160.95238095238096
合租·鸿新花园 3居室 北卧,竹子林,2390.0,13.0,北,0,3,1,1,183.84615384615384
合租·竹盛花园一期 4居室 北卧,竹子林,1860.0,10.5,北,0,4,1,1,177.14285714285714
整租·碧海云天一期 3室2厅 北,竹子林,15000.0,139.0,北,0,3,2,2,107.9136690647482
整租·风临左岸 3室2厅 南,竹子林,9800.0,91.0,南,0,3,2,2,107.6923076923077
整租·竹园小区 3室2厅 南,竹子林,5600.0,76.0,南,0,3,2,1,73.6842105263158
合租·珍奇景苑 5居室 东卧,竹子林,1900.0,13.0,东,0,5,0,5,146.15384615384616
合租·竹园小区 4居室 南卧,竹子林,1730.0,7.72,南,0,4,1,1,224.09326424870463
整租·竹盛花园三期 3室2厅 西南/东北,竹子林,9000.0,101.0,西南东北,0,3,2,1,89.10891089108911
整租·宝能公馆 3室2厅 东南,竹子林,16500.0,108.39,东南,0,3,2,2,152.22806531967893
整租·竹园小区 3室2厅 南/北,竹子林,4800.0,67.0,南北,0,3,2,1,71.64179104477611
整租·建业小区南区 3室2厅 南,竹子林,6200.0,83.0,南,0,3,2,1,74.6987951807229
合租·育星苑 4居室 南卧,竹子林,1760.0,8.2,南,0,4,1,1,214.63414634146343
整租·竹园小区 2室2厅 南,竹子林,6300.0,71.0,南,0,2,2,1,88.73239436619718
整租·锦庐花园 3室2厅 南,竹子林,16800.0,89.0,南,0,3,2,2,188.76404494382024
合租·建业小区南区 4居室 南卧,竹子林,1830.0,10.5,南,0,4,1,1,174.28571428571428
合租·建业小区南区 4居室 南卧,竹子林,1630.0,9.3,南,0,4,1,1,175.26881720430106
合租·香诗美林 4居室 南卧,竹子林,3930.0,17.97,南,0,4,1,1,218.69782971619367
整租·风临左岸 3室2厅 南,竹子林,9500.0,92.29,南,0,3,2,1,102.936396142594
整租·碧海云天二期 4室2厅 南/北,竹子林,20000.0,210.0,南北,0,4,2,2,95.23809523809524
整租·鑫竹苑 3室2厅 南,竹子林,11000.0,111.0,南,0,3,2,2,99.09909909909908
整租·越海家园 2室2厅 南,竹子林,8500.0,76.0,南,0,2,2,1,111.84210526315788
合租·耀荣园 4居室 北卧,竹子林,1860.0,7.73,北,0,4,1,1,240.62095730918497
合租·金海燕花园 5居室 南卧,竹子林,3500.0,25.0,南,0,5,1,2,140.0
整租·建业大厦 2室2厅 南,竹子林,6900.0,84.0,南,0,2,2,1,82.14285714285714
整租·新浩城花园 2室2厅 南,竹子林,10000.0,108.0,南,0,2,2,1,92.5925925925926
整租·新浩城花园 5室2厅 跃层 南,竹子林,24000.0,233.0,南,0,5,2,3,103.00429184549355
整租·新浩城花园 2室2厅 南,竹子林,10000.0,78.0,南,0,2,2,1,128.2051282051282
合租·竹盛花园三期 4居室 东卧,竹子林,2630.0,12.2,东,0,4,1,1,215.5737704918033
整租·鑫竹苑 4室2厅 南,竹子林,14000.0,126.0,南,0,4,2,2,111.11111111111111
合租·金竹花园 4居室 南卧,竹子林,1630.0,7.4,南,0,4,1,1,220.27027027027023
