name,district,total_price,area,price_per_m2,direction,房间,室,厅,卫
整租·紫兰苑 2室2厅 南/北,不夜城,9900,103.91,95.27475700125109,南 北,0,2,2,1
整租·紫祥小区 1室1厅 南,不夜城,4600,32.95,139.60546282245826,南,0,1,1,1
整租·中华新路810号 2室1厅 南,不夜城,6500,45.36,143.29805996472663,南,0,2,1,1
整租·中华新路893弄 2室0厅 南,不夜城,5800,39.23,147.8460361967882,南,0,2,0,1
整租·芷江西路285弄 1室0厅 北,不夜城,3500,19.49,179.57927142124169,北,0,1,0,1
整租·协和大厦 2室1厅 南,不夜城,8800,91.58,96.09084953046516,南,0,2,1,1
整租·中华新路630号 1室1厅 南,不夜城,5000,43.3,115.47344110854505,南,0,1,1,1
整租·普铁新村 1室0厅 北,不夜城,3800,30.88,123.05699481865285,北,0,1,0,1
整租·中兴财富国际公寓 2室1厅 南,不夜城,9000,75.44,119.30010604453871,南,0,2,1,1
整租·合兴小区 1室1厅 南,不夜城,5800,43.93,132.02822672433416,南,0,1,1,1
整租·五月花都荟豪庭 2室2厅 南,不夜城,9800,87.8,111.61731207289294,南,0,2,2,1
整租·天道俪晶国际公寓 1室1厅 南,不夜城,5000,57.88,86.38562543192812,南,0,1,1,1
整租·安丰小区 1室2厅 南,不夜城,6000,47.48,126.36899747262005,南,0,1,2,1
整租·北方佳苑 3室2厅 南/北,不夜城,13000,144.9,89.71704623878537,南 北,0,3,2,2
整租·卓悦居 2室1厅 东,不夜城,13000,90.55,143.5670900055218,东,0,2,1,1
整租·三兴大楼 1室1厅 南,不夜城,5500,47.64,115.44920235096558,南,0,1,1,1
整租·汉中小区 1室1厅 南,不夜城,5200,32.2,161.49068322981364,南,0,1,1,1
整租·安源小区 2室1厅 南/北,不夜城,7000,67.46,103.76519418914914,南 北,0,2,1,1
整租·中华新路893弄 1室1厅 南,不夜城,4300,39.23,109.60999235279124,南,0,1,1,1
整租·五月花都荟豪庭 2室1厅 南/北,不夜城,12500,119.86,104.28833639245786,南 北,0,2,1,1
整租·三兴大楼 1室0厅 东,不夜城,5000,48.03,104.10160316468874,东,0,1,0,1
整租·合兴小区 1室1厅 南,不夜城,4800,43.93,109.26473935806966,南,0,1,1,1
整租·大统路933弄 2室1厅 南,不夜城,6000,47.01,127.63241863433312,南,0,2,1,1
整租·五月花都荟豪庭 1室1厅 南,不夜城,7100,48.82,145.43219991806637,南,0,1,1,1
整租·汉中小区 2室1厅 南,不夜城,5500,40.22,136.74788662357037,南,0,2,1,1
整租·中华新路730弄 2室0厅 南/北,不夜城,5400,48.11,112.24277696944502,南 北,0,2,0,1
整租·卓悦居 2室2厅 南/北,不夜城,13500,93.47,144.4313683534824,南 北,0,2,2,1
整租·大统路827弄 2室1厅 南,不夜城,4600,36.39,126.40835394339103,南,0,2,1,1
整租·合兴小区 1室1厅 南,不夜城,6100,43.61,139.8761751891768,南,0,1,1,1
整租·长安路480弄 1室1厅 南,不夜城,4800,36.81,130.39934800325997,南,0,1,1,1
整租·卓悦居 2室1厅 东,不夜城,13000,90.55,143.5670900055218,东,0,2,1,1
整租·卓悦居 2室1厅 西北,不夜城,12500,84.85,147.31879787860933,西北,0,2,1,1
整租·卓悦居 3室2厅 南,不夜城,18000,125.06,143.93091316168238,南,0,3,2,2
整租·中华新路591弄 2室0厅 南,不夜城,5200,60.51,85.93620889109238,南,0,2,0,1
整租·五月花都荟豪庭 1室1厅 南,不夜城,7200,48.82,147.48054076198278,南,0,1,1,1
整租·一天下大厦 1室1厅 东,不夜城,7500,68.74,109.10677916787897,东,0,1,1,1
整租·中海万锦城(二期) 2室1厅 南/北,不夜城,11000,82.88,132.72200772200773,南 北,0,2,1,1
整租·兴新小区 1室1厅 南,不夜城,5500,40.0,137.5,南,0,1,1,1
整租·普铁新村 1室1厅 南,不夜城,4900,39.36,124.4918699186992,南,0,1,1,1
整租·合兴小区 2室1厅 南,不夜城,7200,74.84,96.20523784072688,南,0,2,1,1
整租·安源小区 1室1厅 南,不夜城,7000,58.74,119.1692202928158,南,0,1,1,1
整租·北方佳苑 2室2厅 南,不夜城,11000,103.02,106.77538342069502,南,0,2,2,1
整租·天道俪晶国际公寓 1室1厅 南,不夜城,6000,48.39,123.99256044637322,南,0,1,1,1
整租·紫祥小区 3室1厅 南,不夜城,7200,54.75,131.5068493150685,南,0,3,1,1
整租·天道俪晶国际公寓 1室1厅 南,不夜城,6500,52.96,122.73413897280966,南,0,1,1,1
整租·中海万锦城(一期) 2室2厅 南/北,不夜城,11000,89.61,122.75415690213146,南 北,0,2,2,1
整租·静安天御 2室2厅 南,不夜城,25000,84.0,297.6190476190476,南,0,2,2,1
整租·静安天御 2室1厅 南,不夜城,27000,84.68,318.8474256022673,南,0,2,1,1
整租·企业公馆 2室2厅 北,不夜城,26500,168.61,157.1674277919459,北,0,2,2,2
整租·中海万锦城(二期) 3室2厅 南,不夜城,13000,83.38,155.91268889421926,南,0,3,2,2
整租·兴新小区 1室1厅 南,不夜城,4200,31.21,134.57225248317846,南,0,1,1,1
整租·天道俪晶国际公寓 1室1厅 南,不夜城,6500,58.49,111.13010771071978,南,0,1,1,1
整租·共和新路970弄 1室1厅 南,不夜城,4200,45.0,93.33333333333333,南,0,1,1,1
整租·一天下大厦 1室1厅 南,不夜城,6800,46.45,146.39397201291712,南,0,1,1,1
整租·静安天御 3室2厅 南/北,不夜城,43000,145.1,296.3473466574776,南 北,0,3,2,2
整租·永兴路973弄 1室1厅 南,不夜城,5000,49.57,100.86746015735324,南,0,1,1,1
整租·共和新路970弄 1室0厅 北,不夜城,3800,25.24,150.55467511885897,北,0,1,0,1
整租·三兴大楼 1室1厅 南,不夜城,6500,55.42,117.28617827499097,南,0,1,1,1
整租·静安天御 2室1厅 南,不夜城,25000,82.26,303.9144176999757,南,0,2,1,1
整租·长安路302号 1室1厅 南,不夜城,4500,34.42,130.73794305636258,南,0,1,1,1
整租·一天下大厦 1室2厅 西/北,不夜城,7600,60.0,126.66666666666667,西 北,0,1,2,1
整租·五月花都荟豪庭 1室1厅 南,不夜城,7600,48.82,155.6739041376485,南,0,1,1,1
整租·汉中小区 1室1厅 南,不夜城,6000,31.62,189.75332068311195,南,0,1,1,1
整租·安丰小区 2室1厅 南,不夜城,9500,46.88,202.64505119453923,南,0,2,1,1
整租·芷江西路285弄 1室0厅 南,不夜城,5100,27.0,188.88888888888889,南,0,1,0,1
整租·三兴大楼 1室1厅 南,不夜城,6500,49.87,130.33888109083617,南,0,1,1,1
整租·永兴路973弄 2室1厅 东,不夜城,5500,48.48,113.44884488448845,东,0,2,1,1
整租·博苑公寓 1室1厅 南,不夜城,5600,44.88,124.777183600713,南,0,1,1,1
整租·一天下大厦 1室2厅 西/北,不夜城,7600,60.0,126.66666666666667,西 北,0,1,2,1
整租·越秀苑 3室2厅 南,不夜城,12000,124.54,96.35458487233016,南,0,3,2,2
整租·企业公馆 3室2厅 南,不夜城,29000,207.83,139.53712168599336,南,0,3,2,3
整租·一天下大厦 1室1厅 南,不夜城,7500,43.68,171.7032967032967,南,0,1,1,1
整租·中海万锦城(四期) 2室1厅 南,不夜城,10000,62.0,161.29032258064515,南,0,2,1,2
整租·越秀苑 2室2厅 南,不夜城,10000,108.04,92.55831173639392,南,0,2,2,1
整租·恒丰小区 2室0厅 南,不夜城,5700,28.32,201.27118644067795,南,0,2,0,1
整租·汉中小区 2室0厅 南,不夜城,5600,45.99,121.76560121765601,南,0,2,0,1
整租·五月花都荟豪庭 1室1厅 南,不夜城,7300,48.82,149.52888160589922,南,0,1,1,1
整租·中海万锦城(三期) 3室1厅 南,不夜城,17000,137.81,123.35824686162107,南,0,3,1,2
整租·联通国际大厦 3室2厅 北,不夜城,16000,133.0,120.30075187969925,北,0,3,2,2
整租·三兴大楼 3室1厅 南,不夜城,8800,94.91,92.71941839637552,南,0,3,1,2
整租·苏家巷小区 1室0厅 南,不夜城,5000,31.52,158.62944162436548,南,0,1,0,1
整租·都荟贤居 1室0厅 南,不夜城,7200,48.45,148.60681114551082,南,0,1,0,1
整租·三兴大楼 1室1厅 南,不夜城,5200,47.64,109.151973131822,南,0,1,1,1
整租·恒丰古北家苑 4室1厅 南,不夜城,16000,141.23,113.29037739856972,南,0,4,1,1
整租·汉中小区 2室0厅 南/北,不夜城,6500,45.99,141.33507284192214,南 北,0,2,0,1
整租·广兴公寓 4室2厅 南,不夜城,18000,150.08,119.93603411513858,南,0,4,2,2
整租·新鑫公寓 4室2厅 南,不夜城,23500,164.31,143.02233582861663,南,0,4,2,1
整租·协和大厦 3室2厅 南/北,不夜城,11000,93.51,117.63447759597904,南 北,0,3,2,1
整租·兴新小区 1室1厅 南,不夜城,5500,40.0,137.5,南,0,1,1,1
整租·中海万锦城(二期) 2室1厅 东南,不夜城,10500,69.42,151.25324114088158,东南,0,2,1,1
整租·长安大厦 1室0厅 南,不夜城,9000,53.4,168.53932584269663,南,0,1,0,1
整租·协和大厦 3室1厅 南/北,不夜城,9500,105.88,89.72421609369097,南 北,0,3,1,1
整租·汉中小区 2室1厅 南,不夜城,6800,45.17,150.54239539517377,南,0,2,1,1
整租·中华新路893弄 1室1厅 南,不夜城,4500,37.78,119.11064055055584,南,0,1,1,1
整租·汉中小区 1室1厅 南,不夜城,5000,32.2,155.27950310559004,南,0,1,1,1
整租·汉中小区 1室1厅 南,不夜城,6500,33.83,192.13715637008573,南,0,1,1,1
整租·卓悦居 2室2厅 南,不夜城,13500,96.28,140.21603656003325,南,0,2,2,1
整租·天道俪晶国际公寓 1室1厅 西,不夜城,5800,50.55,114.73788328387735,西,0,1,1,1
整租·共和新路970弄 1室1厅 南,不夜城,5200,45.65,113.91018619934283,南,0,1,1,1
整租·中海万锦城(一期) 2室2厅 南,不夜城,13800,90.07,153.21416675918732,南,0,2,2,1
整租·金融街融府 3室2厅 南,不夜城,26000,129.79,200.32359966099085,南,0,3,2,2
整租·三兴大楼 2室1厅 南,不夜城,8500,77.66,109.45145506052022,南,0,2,1,1
整租·静安天御 2室1厅 南,不夜城,27000,84.68,318.8474256022673,南,0,2,1,1
整租·兴新小区 1室1厅 南,不夜城,4200,31.21,134.57225248317846,南,0,1,1,1
整租·中海万锦城(二期) 3室2厅 南,不夜城,13000,83.38,155.91268889421926,南,0,3,2,2
整租·共和新路970弄 1室1厅 南,不夜城,4200,45.0,93.33333333333333,南,0,1,1,1
整租·中海万锦城(四期) 1室1厅 西,不夜城,8250,44.09,187.1172601496938,西,0,1,1,1
整租·合兴小区 2室1厅 南,不夜城,8000,72.65,110.11699931176875,南,0,2,1,1
整租·中海万锦城(二期) 3室2厅 东南,不夜城,14000,82.47,169.75870013338184,东南,0,3,2,2
整租·中海万锦城(三期) 3室1厅 南,不夜城,17000,137.81,123.35824686162107,南,0,3,1,2
整租·联通国际大厦 3室2厅 北,不夜城,16000,133.0,120.30075187969925,北,0,3,2,2
整租·苏家巷小区 1室0厅 南,不夜城,5000,31.52,158.62944162436548,南,0,1,0,1
整租·三兴大楼 1室1厅 南,不夜城,5200,47.64,109.151973131822,南,0,1,1,1
整租·恒丰古北家苑 4室1厅 南,不夜城,16000,141.23,113.29037739856972,南,0,4,1,1
整租·汉中小区 2室0厅 南/北,不夜城,6500,45.99,141.33507284192214,南 北,0,2,0,1
整租·广兴公寓 4室2厅 南,不夜城,18000,150.08,119.93603411513858,南,0,4,2,2
整租·共和新路970弄 1室0厅 北,不夜城,3700,24.27,152.45158632056035,北,0,1,0,1
整租·嘉里不夜城 2室2厅 西,不夜城,18000,90.64,198.58781994704324,西,0,2,2,1
整租·中海万锦城(一期) 2室2厅 南,不夜城,12000,89.61,133.91362571141613,南,0,2,2,1
整租·一天下大厦 1室1厅 南,不夜城,7100,49.14,144.48514448514447,南,0,1,1,1
整租·中海万锦城(四期) 2室2厅 南,不夜城,10500,80.0,131.25,南,0,2,2,1
整租·恒丰小区 2室0厅 南,不夜城,5700,28.32,201.27118644067795,南,0,2,0,1
整租·一天下大厦 1室1厅 南,不夜城,5000,43.68,114.46886446886447,南,0,1,1,1
整租·中海万锦城(二期) 1室1厅 西,不夜城,12000,83.3,144.0576230492197,西,0,1,1,2
整租·汉中小区 2室0厅 南,不夜城,5600,45.99,121.76560121765601,南,0,2,0,1
整租·天道俪晶国际公寓 1室1厅 北,不夜城,5680,45.62,124.50679526523456,北,0,1,1,1
整租·一天下大厦 1室1厅 南,不夜城,6500,55.84,116.40401146131805,南,0,1,1,1
整租·汉中小区 1室1厅 南,不夜城,6000,34.25,175.1824817518248,南,0,1,1,1
整租·中海万锦城(二期) 3室2厅 东南,不夜城,14000,82.47,169.75870013338184,东南,0,3,2,2
整租·联通国际大厦 3室2厅 北,不夜城,16000,133.0,120.30075187969925,北,0,3,2,2
整租·三兴大楼 3室1厅 南,不夜城,8800,94.91,92.71941839637552,南,0,3,1,2
整租·苏家巷小区 1室0厅 南,不夜城,5000,31.52,158.62944162436548,南,0,1,0,1
整租·都荟贤居 1室0厅 南,不夜城,7200,48.45,148.60681114551082,南,0,1,0,1
整租·和泰花园 3室2厅 南/北,不夜城,11000,113.93,96.55051347318529,南 北,0,3,2,1
整租·一天下大厦 1室2厅 西/北,不夜城,7600,60.0,126.66666666666667,西 北,0,1,2,1
整租·五月花都荟豪庭 1室1厅 南,不夜城,7600,48.82,155.6739041376485,南,0,1,1,1
整租·汉中小区 1室1厅 南,不夜城,6000,31.62,189.75332068311195,南,0,1,1,1
