name,district,total_price,area,price_per_m2,direction,房间,室,厅,卫
整租·上龙西里 1室1厅 东,安定门,5200,42.92,121.1556383970177,东,0,1,1,1
整租·西营房 1室1厅 北,安定门,4800,36.31,132.1949876067199,北,0,1,1,1
整租·永康胡同1号院 2室1厅 东/西,安定门,10000,67.0,149.2537313432836,东 西,0,2,1,1
整租·黄寺大街28号院 1室1厅 东/西,安定门,7000,47.22,148.24227022448116,东 西,0,1,1,1
整租·安德路55号院 1室1厅 南/北,安定门,5000,64.0,78.125,南 北,0,1,1,1
整租·安外大街3号院 2室1厅 南,安定门,8000,59.5,134.45378151260505,南,0,2,1,1
整租·上龙西里 2室1厅 南/北,安定门,7200,46.93,153.41998721500107,南 北,0,2,1,1
整租·车辇店胡同 1室1厅 南,安定门,8800,54.15,162.51154201292707,南,0,1,1,1
整租·宝钞苑 3室2厅 东/西,安定门,23500,196.8,119.41056910569105,东 西,0,3,2,2
整租·青年湖北街 2室1厅 东北,安定门,10300,82.0,125.60975609756098,东北,0,2,1,1
整租·安德路55号院 2室1厅 南/北,安定门,7000,74.0,94.5945945945946,南 北,0,2,1,1
整租·朗家胡同13号院 3室1厅 南/北,安定门,9800,67.34,145.53014553014552,南 北,0,3,1,2
整租·三秀涵雅 2室1厅 东南,安定门,10100,90.0,112.22222222222223,东南,0,2,1,1
整租·华府景园 2室2厅 西,安定门,13500,98.91,136.4877161055505,西,0,2,2,2
整租·黄寺大街28号院 2室1厅 南,安定门,4120,60.56,68.03170409511229,南,0,2,1,1
整租·车辇店胡同 2室1厅 南/西/北,安定门,8800,65.06,135.25976022133415,南 西 北,0,2,1,1
整租·花园胡同8号院 2室1厅 南/北,安定门,7500,64.0,117.1875,南 北,0,2,1,1
整租·安德路47号院 1室1厅 西,安定门,6600,43.31,152.3897483260217,西,0,1,1,1
整租·中景濠庭 2室2厅 南/西/北,安定门,18900,121.4,155.6836902800659,南 西 北,0,2,2,1
整租·国子监街 7室3厅 东/南/西/北,安定门,100000,100.3,997.0089730807578,东 南 西 北,0,7,3,3
整租·永恒胡同 1室1厅 南,安定门,4200,30.0,140.0,南,0,1,1,0
整租·府上嘉园 3室2厅 南/北,安定门,32500,153.0,212.41830065359477,南 北,0,3,2,2
整租·凯景铭座 2室1厅 南/西,安定门,15000,123.0,121.95121951219512,南 西,0,2,1,1
整租·安德里北街25号院 4室1厅 东/北,安定门,16500,109.0,151.37614678899084,东 北,0,4,1,2
整租·凯景铭座 2室1厅 东/北,安定门,17500,156.2,112.0358514724712,东 北,0,2,1,1
整租·凯景铭座 2室1厅 西,安定门,14500,122.0,118.85245901639344,西,0,2,1,1
